dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1-2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,location,cross_street,lat,lon,year_occ,month_occ
200215463,2020-09-26,2020-09-25,19:00:00,2,Rampart,237,1,510,VEHICLE - STOLEN,1609 0344,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,1600 W  COURT                        ST,ATOLL,34.0668,-118.2627,2020,9
200308100,2020-03-07,2020-03-06,22:00:00,3,Southwest,317,1,510,VEHICLE - STOLEN,1609 0344,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,VERMONT,24TH,34.0344,-118.2915,2020,3
200606074,2020-02-12,2020-02-07,16:15:00,6,Hollywood,646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805.0,998.0,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337,2020,2
200517540,2020-12-07,2020-11-30,22:55:00,5,Harbor,541,1,510,VEHICLE - STOLEN,1300 1402,0,F,H,101,STREET,,,IC,Invest Cont,510.0,998.0,,,1400    BRETT                        PL,MC CADDEN,33.7553,-118.3056,2020,11
200506977,2020-03-10,2020-02-22,00:30:00,5,Harbor,511,1,510,VEHICLE - STOLEN,1300 1402,0,F,H,101,STREET,,,AA,Adult Arrest,510.0,998.0,,,1600 W  PACIFIC COAST                HY,MC CADDEN,33.7926,-118.3043,2020,2
201110303,2020-06-11,2020-06-08,20:00:00,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310.0,998.0,,,100    AVENUE 56,MC CADDEN,34.1089,-118.1942,2020,6
201000767,2020-07-14,2020-07-13,20:00:00,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330.0,998.0,,,18600    HATTERAS                     ST,MC CADDEN,34.1774,-118.5387,2020,7
200510354,2020-06-08,2020-06-08,03:30:00,5,Harbor,587,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,2900 S  KERCKHOFF                    AV,MC CADDEN,33.7179,-118.2898,2020,6
200410136,2020-06-24,2020-06-24,07:00:00,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,300 E  AVENUE 31,MC CADDEN,34.0809,-118.2132,2020,6
200814461,2020-09-24,2020-09-24,17:10:00,8,West LA,898,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886,2020,9
201215562,2020-06-29,2020-06-29,07:30:00,12,77th Street,1263,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,81ST,DENKER,33.9655,-118.3046,2020,6
200210168,2020-05-14,2020-05-12,21:00:00,2,Rampart,266,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,700 S  UNION                        AV,DENKER,34.0531,-118.2738,2020,5
200714301,2020-09-27,2020-09-22,14:30:00,7,Wilshire,702,1,510,VEHICLE - STOLEN,0344 1602 1822 1402,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,800 N  FULLER                       AV,DENKER,34.0853,-118.3499,2020,9
200906009,2020-02-14,2020-02-13,22:30:00,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806.0,998.0,,,SEPULVEDA,BASSETT,34.1958,-118.4662,2020,2
200218448,2020-12-11,2020-12-10,20:00:00,2,Rampart,271,1,510,VEHICLE - STOLEN,0908 1212 1402,0,F,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,900 S  ALVARADO                     ST,BASSETT,34.0529,-118.2819,2020,12
200618540,2020-11-27,2020-11-27,09:50:00,6,Hollywood,642,1,510,VEHICLE - STOLEN,0908 1212 1402,0,F,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,ORANGE,SUNSET,34.0981,-118.3577,2020,11
200316510,2020-08-30,2020-08-29,20:50:00,3,Southwest,333,1,510,VEHICLE - STOLEN,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,510.0,998.0,,,JEFFERSON,HARCOURT,34.0278,-118.3378,2020,8
200504009,2020-01-01,2020-01-01,21:00:00,5,Harbor,526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101,STREET,,,AA,Adult Arrest,946.0,998.0,,,G,ISLAND,33.7783,-118.2662,2020,1
200808682,2020-04-25,2020-04-21,14:00:00,8,West LA,858,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,8800 W  PICO                         BL,ISLAND,34.0548,-118.3837,2020,4
200810737,2020-06-17,2020-06-16,16:00:00,8,West LA,829,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,1300    WOODRUFF                     AV,ISLAND,34.0633,-118.4292,2020,6
201116973,2020-12-26,2020-12-26,03:32:00,11,Northeast,1169,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,200 S  AVENUE 51,ISLAND,34.1038,-118.1987,2020,12
200510994,2020-06-25,2020-06-25,02:30:00,5,Harbor,563,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,108,PARKING LOT,,,IC,Invest Cont,510.0,998.0,,,14TH                         ST,PACIFIC                      AV,33.7315,-118.2879,2020,6
201107590,2020-03-22,2020-03-21,20:00:00,11,Northeast,1137,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,700 N  AVENUE 50,PACIFIC                      AV,34.1109,-118.2016,2020,3
200119680,2020-10-19,2020-10-18,18:00:00,1,Central,159,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,108,PARKING LOT,,,IC,Invest Cont,510.0,998.0,,,1800    CONWAY                       PL,PACIFIC                      AV,34.0366,-118.2325,2020,10
200410224,2020-06-27,2020-06-27,04:00:00,4,Hollenbeck,471,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,108,PARKING LOT,,,IC,Invest Cont,510.0,998.0,,,4TH,CLARENCE,34.0427,-118.2237,2020,6
200412621,2020-09-10,2020-09-09,18:00:00,4,Hollenbeck,467,1,510,VEHICLE - STOLEN,1501 0906 1816,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,100 S  SOTO                         ST,CLARENCE,34.0424,-118.2107,2020,9
201106871,2020-03-04,2020-03-02,21:30:00,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1501 0906 1816,50,M,H,101,STREET,,,IC,Invest Cont,745.0,998.0,,,6100    DELPHI                       ST,CLARENCE,34.1241,-118.1878,2020,3
200111627,2020-05-12,2020-05-10,22:00:00,1,Central,111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,998.0,,,700 N  HILL                         PL,CLARENCE,34.0618,-118.2424,2020,5
200109800,2020-03-29,2020-03-29,09:30:00,1,Central,163,1,330,BURGLARY FROM VEHICLE,1307 1822 0377 0329 1414 1609 0344,0,M,W,103,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330.0,998.0,,,9TH,MAIN,34.0416,-118.255,2020,3
201225656,2020-12-02,2020-12-02,22:45:00,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,998.0,,,SAN PEDRO,85TH                         ST,33.961,-118.2695,2020,12
200309451,2020-04-04,2020-04-04,12:10:00,3,Southwest,361,1,310,BURGLARY,0329 0325 0344 1601,19,X,X,301,GAS STATION,511.0,VERBAL THREAT,IC,Invest Cont,310.0,998.0,,,3700 S  LA BREA                      AV,85TH                         ST,34.0199,-118.3556,2020,4
200211094,2020-06-08,2020-06-06,12:00:00,2,Rampart,237,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1309 0601,0,X,X,247,CAR WASH,511.0,VERBAL THREAT,IC,Invest Cont,341.0,998.0,,,1600 W  TEMPLE                       ST,85TH                         ST,34.0682,-118.2609,2020,6
201212036,2020-05-02,2020-05-01,23:30:00,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0411,28,F,B,501,SINGLE FAMILY DWELLING,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230.0,998.0,,,100 E  82ND                         ST,85TH                         ST,33.9654,-118.2739,2020,5
200914517,2020-09-10,2020-09-09,17:35:00,9,Van Nuys,909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507,CONDOMINIUM/TOWNHOUSE,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,354.0,998.0,,,13600    LEADWELL                     ST,85TH                         ST,34.2039,-118.4312,2020,9
200105246,2020-01-18,2020-01-18,09:40:00,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0913 0400,42,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,998.0,,,200 E  BLOOM                        ST,85TH                         ST,34.0639,-118.2295,2020,1
201106067,2020-02-15,2020-02-15,18:30:00,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330.0,998.0,,,2700 N  VERMONT                      AV,85TH                         ST,34.1179,-118.293,2020,2
201116118,2020-11-27,2020-11-23,12:00:00,11,Northeast,1141,2,354,THEFT OF IDENTITY,0930 1822,26,M,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,354.0,998.0,,,2000 N  VERMONT                      AV,85TH                         ST,34.1095,-118.2958,2020,11
200716724,2020-12-04,2020-12-03,08:11:00,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442.0,998.0,,,8400    BEVERLY                      BL,85TH                         ST,34.0761,-118.3737,2020,12
200217442,2020-11-15,2020-11-15,03:10:00,2,Rampart,218,1,310,BURGLARY,1822 1609 0329 0344 0352,36,M,W,210,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,998.0,,,1500 W  SUNSET                       BL,85TH                         ST,34.0758,-118.2552,2020,11
200914052,2020-08-27,2020-08-27,12:55:00,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,0444,57,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,14100    SYLVAN                       ST,85TH                         ST,34.1847,-118.44,2020,8
200810920,2020-06-20,2020-06-20,10:00:00,8,West LA,841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,998.0,,,12100    SANTA MONICA                 BL,85TH                         ST,34.0423,-118.4656,2020,6
201112187,2020-08-04,2020-07-16,19:00:00,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,662.0,998.0,,,2100    HYPERION                     AV,85TH                         ST,34.099,-118.2738,2020,7
201212259,2020-05-05,2020-05-05,09:32:00,12,77th Street,1239,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0315 0325 0344 0324,0,X,X,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,343.0,998.0,,,5900 S  FIGUEROA                     ST,85TH                         ST,33.9874,-118.2827,2020,5
200918185,2020-12-07,2020-12-07,12:03:00,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,900.0,998.0,,,6200    SYLMAR                       AV,85TH                         ST,34.1837,-118.4465,2020,12
200105289,2020-01-19,2020-01-16,17:00:00,1,Central,119,1,510,VEHICLE - STOLEN,2000 2038,0,F,W,104,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,400    BAUCHET                      ST,85TH                         ST,34.0587,-118.233,2020,1
200516527,2020-11-12,2020-11-12,04:30:00,5,Harbor,508,1,510,VEHICLE - STOLEN,2000 2038,0,F,W,104,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,23400    PRESIDENT                    AV,85TH                         ST,33.8129,-118.3071,2020,11
200609101,2020-04-15,2020-04-12,13:00:00,6,Hollywood,648,1,510,VEHICLE - STOLEN,2000 2038,0,F,W,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,510.0,998.0,,,5700    HOLLYWOOD                    BL,85TH                         ST,34.1017,-118.3136,2020,4
201210786,2020-04-11,2020-04-11,20:35:00,12,77th Street,1259,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2024 0445 0411 1218 2033,26,F,B,103,ALLEY,215.0,MACHETE,IC,Invest Cont,230.0,998.0,,,74TH                         ST,AVALON,33.973,-118.2652,2020,4
200706211,2020-02-17,2020-02-16,23:50:00,7,Wilshire,734,2,624,BATTERY - SIMPLE ASSAULT,0444,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,998.0,,,6000 W  6TH                          ST,AVALON,34.0677,-118.3548,2020,2
200514277,2020-09-17,2020-09-17,22:55:00,5,Harbor,558,2,901,VIOLATION OF RESTRAINING ORDER,1813 2000 2038,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,901.0,998.0,,,200 W  AMAR                         ST,AVALON,33.7478,-118.2822,2020,9
200506268,2020-02-22,2020-02-22,19:00:00,5,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,624.0,,,PACIFIC COAST,VERMONT,33.7926,-118.3043,2020,2
200119908,2020-10-24,2020-10-23,23:30:00,1,Central,185,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,0,F,B,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330.0,624.0,,,1000 S  BROADWAY,VERMONT,34.0406,-118.2578,2020,10
200206940,2020-02-27,2020-02-27,12:55:00,2,Rampart,216,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0202 1309 1310 0906 0302 1100 0430,28,M,H,101,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,624.0,,,BELLEVUE                     AV,CORONADO                     ST,34.0751,-118.2717,2020,2
200709456,2020-05-20,2020-05-20,12:50:00,7,Wilshire,773,1,330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,53,F,W,501,SINGLE FAMILY DWELLING,102.0,HAND GUN,IC,Invest Cont,330.0,624.0,,,1800 S  COCHRAN                      AV,CORONADO                     ST,34.0443,-118.3538,2020,5
201014375,2020-10-24,2020-10-23,23:30:00,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1420,0,M,W,210,RESTAURANT/FAST FOOD,102.0,HAND GUN,IC,Invest Cont,740.0,624.0,,,6800    RESEDA                       BL,CORONADO                     ST,34.1939,-118.536,2020,10
200117110,2020-08-28,2020-05-01,01:00:00,1,Central,154,1,121,"RAPE, FORCIBLE",0537 0527 1814 0522 0516 2000 1206 2001 0913,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,624.0,,,500 S  MAIN                         ST,CORONADO                     ST,34.0465,-118.2488,2020,5
200610130,2020-05-11,2020-05-11,11:30:00,6,Hollywood,645,1,210,ROBBERY,0325 0601 0104 0400 0945 1822,0,X,X,401,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,624.0,,,7000 W  SUNSET                       BL,CORONADO                     ST,34.098,-118.3416,2020,5
200714035,2020-09-20,2020-09-01,00:01:00,7,Wilshire,715,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,70,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,331.0,624.0,,,400 N  ALTA VISTA                   BL,CORONADO                     ST,34.0783,-118.3474,2020,9
200210863,2020-06-01,2020-06-01,15:25:00,2,Rampart,235,1,510,VEHICLE - STOLEN,1822 0344 1300 0385,0,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,624.0,,,2200    VALLEY                       ST,CORONADO                     ST,34.0653,-118.2725,2020,6
200911839,2020-07-02,2020-06-26,12:00:00,9,Van Nuys,974,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,36,M,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,331.0,624.0,,,4600    WILLIS                       AV,CORONADO                     ST,34.1545,-118.4552,2020,6
200615995,2020-09-28,2020-09-27,00:35:00,6,Hollywood,646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,624.0,,,6600 W  SUNSET                       BL,CORONADO                     ST,34.098,-118.3335,2020,9
200200760,2020-07-07,2020-07-07,16:20:00,2,Rampart,241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0334 0445 0416 1822 1218 0429 1223 0400,45,M,B,102,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,624.0,,,6TH                          ST,BENTON                       WY,34.0628,-118.2821,2020,7
201115543,2020-11-08,2020-11-08,15:00:00,11,Northeast,1183,1,330,BURGLARY FROM VEHICLE,0344 1612,42,M,W,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,624.0,,,1600 N  ALVARADO                     ST,BENTON                       WY,34.0834,-118.2599,2020,11
200320615,2020-11-18,2020-11-11,23:00:00,3,Southwest,327,1,480,BIKE - STOLEN,0344 1822,22,M,W,121,YARD (RESIDENTIAL/BUSINESS),500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,480.0,624.0,,,2600    ORCHARD                      AV,BENTON                       WY,34.0303,-118.2874,2020,11
200200724,2020-06-05,2020-06-04,18:50:00,2,Rampart,202,2,624,BATTERY - SIMPLE ASSAULT,0913 0554 0508 0602 2001,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,624.0,,,4300    NORMAL                       AV,BENTON                       WY,34.0888,-118.2881,2020,6
201007153,2020-03-12,2020-03-12,06:40:00,10,West Valley,1001,2,888,TRESPASSING,1822 2004,45,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,888.0,624.0,,,19500    INGOMAR                      ST,BENTON                       WY,34.212,-118.5579,2020,3
201308239,2020-03-16,2020-02-28,23:00:00,13,Newton,1333,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329,62,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745.0,624.0,,,1000 E  28TH                         ST,BENTON                       WY,34.0175,-118.2574,2020,2
200506936,2020-03-09,2020-03-08,18:30:00,5,Harbor,506,1,510,VEHICLE - STOLEN,1202 0329,0,M,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,624.0,,,WESTERN                      AV,221ST                        ST,33.8268,-118.309,2020,3
201217850,2020-08-04,2020-08-04,10:00:00,12,77th Street,1249,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1814 0913,31,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,624.0,,,6700 S  FIGUEROA                     ST,221ST                        ST,33.9786,-118.2827,2020,8
200310566,2020-04-25,2020-04-25,09:50:00,3,Southwest,356,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 0344 1822,37,M,B,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,624.0,,,1700 W  JEFFERSON                    BL,221ST                        ST,34.0256,-118.3061,2020,4
201222029,2020-10-04,2020-10-04,18:00:00,12,77th Street,1268,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1813 2000 2002,32,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,624.0,,,100 E  84TH                         PL,221ST                        ST,33.9619,-118.2717,2020,10
